Year,ACC,Big_Ten,Big_12,Pac_12,SEC,Other,Height_IN,Weight_LBS,Wonderlic,40_Yard,Bench_Press,Vert_Leap_IN,Broad_Jump_IN,Shuttle,3Cone,Started
2014,0,0,0,0,0,1,74.63,218,NA,5,NA,28,99,4.25,7.07,No
2013,0,0,0,0,0,0,78.13,232,24,5.05,NA,NA,100,4.51,7.2,No
2013,0,0,0,0,0,0,74.13,212,NA,4.78,NA,30.5,112,4.28,6.98,No
2013,0,0,0,0,0,1,74.88,227,24,4.81,NA,NA,NA,NA,NA,No
2013,0,0,0,0,0,1,79.13,225,26,4.94,NA,26.5,102,4.52,7.49,Yes
2013,0,0,1,0,0,0,76.13,225,28,5.11,NA,31,115,4.3,7.12,Yes
2013,0,0,1,0,0,0,76.88,226,NA,4.78,NA,29,111,4.4,7.17,No
2013,1,0,0,0,0,1,76.63,237,28,4.65,NA,34,118,4.21,7.08,No
2013,1,0,0,0,0,1,74.13,227,41,5.06,NA,28.5,105,4.53,7.34,Yes
2013,1,0,0,0,0,0,75.13,219,NA,NA,NA,NA,NA,NA,NA,Yes
2013,0,0,0,1,0,0,74.13,213,22,4.69,NA,31,118,3.99,6.69,No
2013,0,0,1,0,0,0,74.38,218,24,4.58,NA,33.5,124,NA,NA,Yes
2013,0,0,0,0,0,0,76.5,229,NA,4.97,NA,29,112,4.55,7.17,No
2013,0,1,0,0,0,0,74.75,226,NA,4.92,NA,32,116,4.52,6.95,No
2013,0,0,0,0,0,0,74.13,215,20,4.95,NA,28.5,112,4.39,7.22,No
2012,0,0,0,0,0,1,75.5,215,NA,4.61,NA,31.5,106,4.3,7.03,No
2012,0,1,0,0,0,0,74.63,214,33,4.84,NA,28.5,109,4.5,7.05,Yes
2012,0,0,0,0,0,1,73.63,219,NA,4.69,NA,31,109,4.11,6.73,No
2012,0,0,1,0,0,1,74.38,223,24,4.33,NA,39,120,NA,NA,No
2012,0,0,0,0,0,1,73.63,219,NA,4.68,NA,32.5,112,4.15,6.78,No
2012,1,0,0,0,0,1,75,203,NA,4.65,NA,37,113,4.4,7.1,No
2012,0,0,0,0,1,0,76.13,223,NA,4.58,14,36.5,116,4.06,6.81,No
2012,0,0,0,0,0,1,75.75,229,35,4.86,NA,29.5,108,4.45,7.52,Yes
2012,0,0,0,1,1,0,76,234,37,4.59,NA,36,124,4.28,6.8,Yes
2012,0,0,0,0,0,1,72,197,26,4.82,NA,27,99,4.56,7.41,No
2012,0,0,0,1,0,0,78.88,242,25,4.83,NA,NA,NA,NA,NA,Yes
2012,0,0,0,0,1,0,75.88,221,34,4.65,NA,NA,NA,NA,NA,Yes
2012,0,0,0,1,0,0,74.63,220,NA,4.77,14,36,121,4.28,7.17,No
2012,0,1,0,0,0,0,70.63,204,28,4.53,NA,34,118,4.09,6.97,Yes
2012,0,0,0,0,1,0,75.5,225,NA,5.08,NA,31.5,101,4.37,7.14,No
2011,0,0,0,0,0,0,74,215,29,4.83,NA,29.5,106,4.27,6.93,Yes
2011,0,0,0,0,0,1,75.38,225,NA,4.81,NA,33,116,4.32,7.08,No
2011,0,0,0,0,0,1,76.13,240,NA,5.12,NA,25.5,102,4.46,7.13,No
2011,0,0,0,0,1,0,76.38,234,42,4.61,NA,33.5,120,4.26,6.84,Yes
2011,0,0,0,0,0,1,77.13,251,NA,4.75,NA,29,119,4.31,7.28,No
2011,0,0,0,0,0,1,76.63,233,NA,4.53,NA,32.5,115,4.18,6.85,Yes
2011,0,0,0,1,0,1,74.5,231,20,4.51,NA,35,115,4.12,6.77,Yes
2011,0,0,0,0,0,0,78.75,253,26,5.24,NA,24,103,NA,NA,Yes
2011,0,0,0,0,0,0,73.88,220,43,4.84,NA,33,107,4.45,7.11,Yes
2011,0,0,0,0,0,0,77,248,21,4.56,NA,35,126,4.18,6.92,Yes
2011,1,0,0,0,0,0,74,229,35,4.63,NA,34,116,4.09,6.85,Yes
2011,0,0,0,0,0,0,74.88,211,NA,4.59,NA,40,126,4.12,6.84,No
2011,0,1,0,0,0,0,76.38,223,30,4.87,NA,32.5,110,4.43,6.95,No
2011,1,0,0,0,0,0,72.75,217,NA,4.47,NA,37.5,126,4.09,6.78,Yes
2011,0,1,0,0,0,1,74,212,NA,4.92,NA,29.5,116,4.12,6.84,No
2011,0,0,0,0,0,0,77.25,218,NA,4.83,NA,31,114,4.16,6.87,No
2011,1,0,0,0,1,0,75.38,219,NA,5.06,NA,29.5,104,4.12,6.96,No
2010,0,0,1,0,0,1,76.25,236,36,4.79,NA,NA,NA,NA,NA,Yes
2010,0,0,1,0,0,0,74.88,224,NA,4.5,NA,34.5,114,4.39,7.24,No
2010,0,0,0,0,0,1,75.5,229,NA,4.93,20,31.5,106,4.43,7.07,Yes
2010,0,0,0,1,0,0,75.75,223,NA,4.93,NA,29.5,100,4.39,7.26,No
2010,1,0,0,0,0,1,74.63,222,23,4.76,NA,NA,NA,NA,NA,Yes
2010,0,0,0,0,0,0,72.63,209,NA,4.84,NA,32,102,4.35,7.07,No
2010,0,0,0,0,0,1,76,229,NA,4.97,18,32.5,118,4.54,7.1,No
2010,0,1,0,0,0,1,75.13,225,NA,4.93,NA,32,110,4.37,6.96,Yes
2010,0,0,0,0,0,0,75.25,230,NA,4.6,NA,29.5,110,4.22,6.93,No
2010,1,0,0,0,0,1,72.5,215,NA,4.84,NA,28,107,NA,NA,No
2010,0,0,1,0,0,0,73.13,216,25,4.79,NA,NA,114,NA,NA,Yes
2010,0,0,1,0,1,0,77.75,223,NA,4.9,NA,28.5,108,4.53,7.06,Yes
2010,0,0,1,0,0,0,74.5,214,NA,4.68,NA,35,110,4.4,7.24,No
2010,0,0,0,0,0,0,77.38,243,24,4.85,NA,33.5,108,4.33,7.17,Yes
