Year,Name,College,POS,ProDay/Combine,Height (in),Weight (lbs),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Started
2018,Josh Allen,Wyoming,QB,Combine,76.88,237,NA,4.75,NA,33.5,119,4.4,6.9,Yes
2018,Kyle Allen,Houston,QB,Both,75.25,210,NA,4.71,NA,28.5,113,4.26,NA,No
2018,J.T. Barrett,Ohio State,QB,Combine,73.25,224,NA,4.7,NA,30,108,4.44,7.38,No
2018,Kurt Benkert,Virginia,QB,Combine,74.63,218,NA,4.95,16,31,112,4.33,7.15,No
2018,Jeremiah Briscoe,Sam Houston State (TX),QB,Combine,75,220,NA,NA,NA,NA,NA,NA,NA,No
2018,Max Browne,Pittsburgh,QB,ProDay,77.13,227,NA,5.1,23,30,113,4.57,7.5,No
2018,Ryan Burns,Stanford,QB,ProDay,76.88,245,NA,4.81,16,36,117,4.31,7.27,No
2018,Sam Darnold,Southern California,QB,Combine,75.38,221,NA,4.85,NA,26.5,105,4.4,6.96,Yes
2018,Jesse Ertz,Kansas State,QB,Combine,74.5,209,NA,NA,NA,NA,NA,NA,NA,No
2018,Danny Etling,Louisiana State,QB,Combine,74.5,222,NA,4.76,NA,30.5,114,4.37,7.09,No
2018,Luke Falk,Washington State,QB,Combine,75.63,215,NA,NA,NA,26.5,103,NA,NA,Yes
2018,Riley Ferguson,Memphis,QB,Combine,74.75,212,NA,4.98,NA,29,110,4.4,6.96,No
2018,Quinton Flowers,South Florida,QB,Combine,70.38,214,NA,4.63,NA,NA,112,4.57,6.81,No
2018,Kenny Hill,Texas Christian,QB,Both,73.88,209,NA,4.78,NA,NA,NA,NA,NA,No
2018,Lamar Jackson,Louisville,QB,Combine,74.25,216,NA,NA,NA,NA,NA,NA,NA,Yes
2018,Chad Kanoff,Princeton,QB,Both,76,219,NA,5.03,NA,32.5,111,NA,NA,No
2018,DeVante Kincade,Grambling State (LA),QB,ProDay,71.38,198,NA,4.65,NA,31,111,4.37,7.56,No
2018,Richard Lagow,Indiana,QB,Both,77,219,NA,5.02,NA,NA,NA,4.74,7.63,No
2018,Kyle Lauletta,Richmond (VA),QB,Combine,74.63,222,NA,4.81,NA,31,113,4.07,6.95,Yes
2018,Tanner Lee,Nebraska,QB,Combine,76.25,218,NA,4.98,NA,32,115,4.41,7,No
2018,Chase Litton,Marshall (WV),QB,Combine,77,230,NA,4.9,NA,29.5,106,4.53,7.49,No
2018,Baker Mayfield,Oklahoma,QB,Combine,72.63,215,NA,4.84,NA,29,111,4.28,7,Yes
2018,Alex McGough,Florida International,QB,ProDay,75.38,214,NA,4.62,NA,32.5,112,4.5,7.27,No
2018,Shane Morris,Central Michigan,QB,ProDay,75,206,NA,4.84,NA,31.5,108,4.58,7.33,No
2018,Brogan Roback,Eastern Michigan,QB,ProDay,74.88,213,NA,5.03,NA,30,113,4.45,7.5,No
2018,Josh Rosen,UCLA,QB,Combine,76,226,NA,4.92,NA,31,111,4.28,7.09,Yes
2018,Mason Rudolph,Oklahoma State,QB,Both,76.63,235,NA,4.9,NA,26,107,4.56,NA,Yes
2018,Nic Shimonek,Texas Tech,QB,Combine,75,220,NA,4.88,NA,28.5,101,4.32,7.28,No
2018,Brandon Silvers,Troy (AL),QB,ProDay,74.5,220,NA,5.06,NA,28,103,4.78,7.68,No
2018,Nick Stevens,Colorado State,QB,ProDay,75.38,208,NA,5.12,NA,22.5,97,4.77,7.7,No
2018,Chris Streveler,South Dakota,QB,ProDay,73.63,209,NA,4.51,NA,38.5,125,4.73,7.35,No
2018,Mike White,Western Kentucky,QB,Combine,76.63,224,NA,5.09,NA,27,96,4.4,7.4,No

2018,John Wolford,Wake Forest,QB,ProDay,71.5,205,NA,4.77,NA,31,109,4.18,6.78,No
2018,Logan Woodside,Toledo,QB,Combine,73.25,213,NA,4.79,NA,31.5,103,4.15,6.94,Yes
2017,Austin Appleby,Florida,QB,ProDay,76.13,230,NA,4.86,NA,30,113,4.4,7.13,No
2017,C.J. Beathard,Iowa,QB,Both,74.13,219,26,NA,NA,31,113,4.23,6.95,Yes
2017,Joshua Dobbs,Tennessee,QB,Combine,75.25,216,29,4.64,NA,33,122,4.31,6.75,Yes
2017,Dane Evans,Tulsa (OK),QB,ProDay,72.38,210,NA,5.05,NA,31,115,4.41,7.22,No
2017,Jerod Evans,Virginia Tech,QB,Combine,74.63,232,21,4.8,NA,26.5,112,4.41,NA,No
2017,Perry Hills,Maryland,QB,ProDay,74.25,209,NA,4.69,NA,32,113,4.38,7.09,No
2017,Justin Holman,Central Florida,QB,ProDay,75.88,215,NA,4.71,NA,35.5,110,4.21,7.19,No
2017,Bart Houston,Wisconsin,QB,ProDay,75,234,NA,5.12,NA,29,106,4.44,7,No
2017,Jeremy Johnson,Auburn,QB,ProDay,76.25,232,NA,4.75,NA,31.5,114,4.46,7.07,No
2017,Brad Kaaya,Miami (FL),QB,Combine,75.75,214,34,NA,NA,NA,NA,NA,NA,No
2017,Chad Kelly,Mississippi,QB,Combine,73.75,224,22,NA,NA,NA,NA,4.08,NA,Yes
2017,Gunner Kiel,Cincinnati,QB,ProDay,75.25,211,NA,4.84,NA,35,117,4.53,7.47,No
2017,DeShone Kizer,Notre Dame,QB,Combine,76.13,233,28,4.83,NA,30.5,107,4.53,7.4,Yes
2017,Trevor Knight,Texas A&M,QB,Combine,72.75,219,NA,4.54,NA,35.5,124,4.14,7.04,No
2017,Mitch Leidner,Minnesota,QB,Combine,75.38,226,NA,4.93,NA,34.5,123,4.25,6.96,No
2017,Sefo Liufau,Colorado,QB,Combine,75.38,232,NA,5.08,NA,27,105,4.45,7.32,No
2017,Wes Lunt,Illinois,QB,ProDay,76.25,222,NA,4.87,NA,29.5,109,4.44,7.28,No
2017,Sean Maguire,Florida State,QB,ProDay,73.88,219,NA,5.24,NA,24,99,4.66,7.53,No
2017,Patrick Mahomes,Texas Tech,QB,Combine,74.13,225,24,4.8,NA,30,114,4.08,6.88,Yes
2017,Nick Mullens,Southern Mississippi,QB,ProDay,72.88,214,NA,4.9,NA,31,104,4.47,7.4,No
2017,Philip Nelson,East Carolina (NC),QB,ProDay,73.38,203,NA,4.8,NA,35.5,115,4.42,7.08,No
2017,Nathan Peterman,Pittsburgh,QB,Combine,74.63,226,33,4.82,NA,31,110,4.31,7.14,Yes
2017,Antonio Pipkin,Tiffin (OH),QB,ProDay,72.88,225,NA,4.66,NA,36.5,116,4.25,7.07,No
2017,Cooper Rush,Central Michigan,QB,Combine,74.63,228,NA,4.93,NA,27,105,4.47,7.23,No
